略語,意味(日本語),意味(English),カテゴリ
API,アプリケーション・プログラミング・インターフェース,Application Programming Interface,IT
HTTP,ハイパーテキスト転送プロトコル,Hypertext Transfer Protocol,IT
CSS,カスケーディング・スタイル・シート,Cascading Style Sheets,IT
HTML,ハイパーテキスト・マークアップ・ランゲージ,HyperText Markup Language,IT
SQL,構造化問い合わせ言語,Structured Query Language,IT
URL,統一資源位置指定子,Uniform Resource Locator,IT
UI,ユーザーインターフェース,User Interface,IT
UX,ユーザーエクスペリエンス,User Experience,IT
AI,人工知能,Artificial Intelligence,技術
ML,機械学習,Machine Learning,技術
IoT,モノのインターネット,Internet of Things,技術
VPN,仮想プライベートネットワーク,Virtual Private Network,IT
DNS,ドメイン・ネーム・システム,Domain Name System,IT
JSON,ジャバスクリプト・オブジェクト・ノーテーション,JavaScript Object Notation,IT
XML,拡張マークアップ言語,Extensible Markup Language,IT
FTP,ファイル転送プロトコル,File Transfer Protocol,IT
SSH,セキュアシェル,Secure Shell,IT
CRUD,生成・読取・更新・削除,Create Read Update Delete,IT
MVC,モデル・ビュー・コントローラー,Model View Controller,IT
REST,表現状態転送,Representational State Transfer,IT
ASAP,できるだけ早く,As Soon As Possible,ビジネス
FYI,ご参考までに,For Your Information,ビジネス
TBD,未定,To Be Determined,ビジネス
WIP,作業中,Work In Progress,ビジネス
EOD,営業終了時,End Of Day,ビジネス
KPI,重要業績評価指標,Key Performance Indicator,ビジネス
ROI,投資利益率,Return On Investment,ビジネス
B2B,企業間取引,Business to Business,ビジネス
B2C,企業対消費者取引,Business to Consumer,ビジネス
CEO,最高経営責任者,Chief Executive Officer,ビジネス
